Generation,Score,Fitness,Best Score,Best Fitness
0,1,12.535,2,56.0
1,1,13.16,3,103.0
2,1,13.34,3,109.0
3,1,13.335,3,107.0
4,1,11.49,2,56.0
5,1,12.635,3,107.0
6,1,12.11,2,57.0
7,1,13.075,3,107.0
8,1,12.78,3,105.0
9,1,14.31,2,58.0
10,1,12.815,3,104.0
11,1,11.855,3,103.0
12,1,12.525,3,106.0
13,1,13.885,3,105.0
14,1,13.415,3,104.0
15,1,13.72,2,96.0
16,1,12.34,2,55.0
17,1,12.91,3,106.0
18,1,14.02,3,104.0
19,1,14.405,3,102.0
20,1,15.505,3,109.0
21,1,13.59,3,103.0
22,1,12.385,2,59.0
23,1,12.66,3,106.0
24,1,12.245,2,62.0
25,1,13.46,2,57.0
26,1,13.89,3,105.0
27,1,12.56,3,104.0
28,1,15.18,3,108.0
29,1,13.21,2,59.0
30,1,15.04,3,106.0
31,1,13.44,2,60.0
32,1,15.165,3,106.0
33,1,12.545,3,107.0
34,1,13.41,2,59.0
35,1,15.96,3,110.0
36,1,16.53,3,106.0
37,1,16.91,3,106.0
38,1,15.18,3,104.0
39,1,16.765,2,66.0
40,1,16.835,3,103.0
41,1,16.725,3,103.0
42,1,14.995,2,58.0
43,1,15.915,2,59.0
44,1,14.805,3,105.0
45,1,15.98,3,109.0
46,1,17.28,3,105.0
47,1,18.545,3,111.0
48,1,17.61,3,106.0
49,1,16.07,3,107.0
50,1,16.755,3,103.0
51,1,15.825,2,56.0
52,1,15.995,2,58.0
53,1,19.54,3,108.0
54,1,18.89,3,107.0
55,1,16.675,3,105.0
56,1,13.965,2,58.0
57,1,15.995,3,106.0
58,1,15.02,2,56.0
59,1,17.345,3,109.0
60,1,16.925,4,156.0
61,1,15.075,3,108.0
62,1,15.455,4,156.0
63,1,17.255,2,61.0
64,1,16.795,2,58.0
65,1,18.155,2,60.0
66,1,17.695,3,106.0
67,1,17.24,3,106.0
68,1,19.865,3,107.0
69,1,17.95,3,108.0
70,1,18.675,3,106.0
71,1,16.825,3,102.0
72,1,17.725,3,105.0
73,1,20.555,4,156.0
74,1,19.15,3,105.0
75,1,20.965,3,106.0
76,1,19.13,3,106.0
77,1,17.955,4,155.0
78,1,17.85,3,109.0
79,1,19.52,3,106.0
80,1,19.87,3,105.0
81,1,19.045,3,102.0
82,1,17.595,3,109.0
83,1,21.56,3,105.0
84,1,17.375,3,105.0
85,1,19.805,4,156.0
86,1,16.63,3,106.0
87,1,17.535,2,59.0
88,1,16.325,2,59.0
89,1,19.365,3,106.0
90,1,17.805,3,106.0
91,1,17.47,3,105.0
92,1,17.785,3,105.0
