Generation,Score,Fitness,Best Score,Best Fitness
0,1,11.46,2,55.0
1,1,12.92,2,58.0
2,1,14.4,2,56.0
3,1,15.51,3,106.0
4,1,10.34,2,55.0
5,1,11.2,3,104.0
6,1,13.69,3,106.0
7,1,13.56,2,58.0
8,1,11.61,2,59.0
9,1,12.46,2,61.0
10,1,13.89,2,58.0
11,1,13.68,3,104.0
12,1,14.66,3,109.0
13,1,13.46,3,108.0
14,1,13.9,2,57.0
15,1,18.87,3,105.0
16,1,13.85,2,58.0
17,1,12.15,2,56.0
18,1,14.74,3,107.0
19,1,16.91,3,119.0
20,1,16.42,3,105.0
21,1,15.15,3,103.0
22,1,15.27,2,56.0
23,1,17.07,3,108.0
24,1,18.16,3,103.0
25,1,17.6,2,96.0
26,1,16.0,3,105.0
27,1,17.64,3,105.0
28,1,14.71,3,105.0
29,1,11.81,2,59.0
30,1,15.56,3,105.0
31,1,17.31,3,105.0
32,1,17.48,2,58.0
33,1,15.58,3,105.0
34,1,19.94,3,104.0
35,1,17.95,3,105.0
36,1,20.08,3,104.0
37,1,16.89,3,110.0
38,1,18.16,3,104.0
39,1,15.08,2,58.0
40,1,16.85,3,105.0
41,1,16.16,2,58.0
42,1,15.23,2,60.0
43,1,17.09,2,56.0
44,1,18.07,3,107.0
45,1,18.59,3,105.0
46,1,23.44,3,105.0
47,1,15.72,3,110.0
48,1,17.91,3,105.0
49,1,16.11,3,106.0
50,1,18.62,4,157.0
51,1,21.04,3,108.0
52,1,18.24,2,57.0
53,1,20.61,2,60.0
54,1,20.99,3,105.0
55,1,21.28,4,160.0
56,1,18.11,3,104.0
57,1,18.43,3,107.0
58,1,19.45,3,104.0
59,1,16.32,3,105.0
60,1,19.68,3,109.0
61,1,20.41,3,106.0
62,1,23.2,3,113.0
63,1,18.19,3,105.0
64,1,20.48,3,107.0
65,1,19.72,4,157.0
66,1,21.6,3,106.0
67,1,22.87,4,156.0
68,1,19.69,4,160.0
69,1,21.47,3,106.0
70,1,24.6,3,106.0
71,1,21.67,3,107.0
72,1,23.65,3,111.0
73,1,24.35,3,107.0
74,1,20.8,3,107.0
75,1,22.65,3,105.0
76,1,25.74,3,109.0
77,1,29.89,4,159.0
78,1,26.72,3,109.0
79,1,25.92,3,113.0
80,1,24.89,4,156.0
81,1,26.61,3,111.0
82,1,24.8,3,107.0
83,1,23.6,4,155.0
84,1,23.96,3,110.0
85,1,26.51,3,111.0
86,1,22.98,3,109.0
87,1,22.99,4,157.0
88,1,23.84,4,158.0
89,1,25.52,3,111.0
90,1,24.26,3,109.0
91,1,18.47,3,107.0
92,1,26.33,3,114.0
93,1,28.94,3,107.0
94,1,30.92,3,109.0
95,1,22.14,4,166.0
96,1,28.8,4,160.0
97,1,23.83,3,105.0
98,1,25.35,3,109.0
99,1,26.73,3,105.0
100,1,30.38,3,111.0
101,1,29.36,4,162.0
102,1,33.38,3,107.0
103,1,32.35,4,167.0
104,1,34.31,5,209.0
105,1,32.6,4,161.0
106,1,33.33,3,111.0
107,1,33.57,4,160.0
108,1,29.87,3,107.0
109,1,31.4,4,155.0
110,1,33.36,4,161.0
111,1,29.73,4,159.0
112,1,30.68,3,108.0
113,1,35.12,4,158.0
114,1,32.96,3,111.0
115,1,37.44,3,115.0
116,1,33.18,3,110.0
117,1,30.42,3,111.0
118,1,30.86,4,159.0
119,1,28.82,4,160.0
120,1,35.61,3,109.0
121,1,33.36,3,111.0
122,1,35.3,4,159.0
123,1,32.0,4,166.0
124,1,32.22,4,157.0
125,1,31.4,3,109.0
126,1,28.75,3,109.0
127,1,37.51,5,210.0
128,1,39.37,4,155.0
