Generation,Score,Fitness,Best Score,Best Fitness
0,1,6.1,2,53.0
1,1,10.8,3,103.0
2,1,4.89,2,53.0
3,1,10.77,2,55.0
4,1,10.69,2,56.0
5,1,9.55,2,56.0
6,1,12.63,2,56.0
7,1,13.55,3,104.0
8,1,13.66,3,105.0
9,1,12.35,3,103.0
10,1,13.41,3,109.0
11,1,13.24,2,56.0
12,1,12.27,3,106.0
13,1,12.92,2,58.0
14,1,15.58,3,107.0
15,1,14.47,2,60.0
16,1,16.76,3,106.0
17,1,16.6,3,105.0
18,1,17.51,3,111.0
19,1,16.25,3,105.0
20,1,15.43,3,108.0
21,1,14.15,2,59.0
22,1,17.05,3,105.0
23,1,15.43,2,56.0
24,1,17.5,3,105.0
25,1,19.63,3,106.0
26,1,19.31,3,108.0
27,1,24.49,4,163.0
28,1,21.15,3,108.0
29,1,21.99,4,157.0
30,1,19.6,3,106.0
31,1,16.54,3,106.0
32,1,25.79,4,167.0
33,1,21.35,3,111.0
34,1,21.62,3,107.0
35,1,20.57,4,156.0
36,1,25.52,3,111.0
37,1,22.63,3,106.0
38,1,27.44,4,161.0
39,1,24.1,3,112.0
40,1,26.7,4,157.0
41,1,24.23,3,114.0
42,1,24.53,3,112.0
43,1,27.03,4,157.0
44,1,30.75,4,164.0
45,1,27.27,5,220.0
46,1,27.13,3,113.0
47,1,30.18,4,168.0
48,1,30.02,3,104.0
49,1,29.9,5,227.0
50,1,26.21,3,106.0
51,1,30.12,3,172.0
52,1,26.43,5,217.0
53,1,30.02,3,106.0
54,1,25.39,3,108.0
55,1,28.57,3,112.0
56,1,29.4,3,123.0
57,1,30.12,4,169.0
58,1,28.21,4,166.0
59,1,28.74,3,114.0
60,1,29.55,3,113.0
61,1,24.76,3,110.0
62,1,27.63,3,120.0
63,1,23.32,3,113.0
64,1,32.58,3,172.0
65,1,31.4,3,118.0
66,1,29.98,3,172.0
67,1,37.46,6,265.0
68,1,29.36,4,157.0
69,1,32.19,4,166.0
70,1,37.11,3,172.0
71,1,34.37,4,176.0
72,1,38.46,5,222.0
73,1,28.02,3,132.0
74,1,30.76,3,126.0
75,1,35.53,4,164.0
76,1,38.16,5,231.0
77,1,39.03,5,228.0
78,1,42.34,5,229.0
79,1,38.78,5,222.0
80,1,33.23,3,120.0
81,1,42.11,6,272.0
82,1,37.41,5,226.0
83,1,38.24,5,212.0
84,1,44.47,5,297.0
85,1,44.35,5,294.0
86,1,38.19,5,219.0
87,1,46.84,5,220.0
88,1,42.98,5,208.0
89,1,42.72,4,241.0
90,1,45.32,3,172.0
91,1,36.63,3,172.0
92,1,39.21,3,172.0
93,1,41.83,4,185.0
94,1,44.51,3,172.0
95,1,36.24,5,237.0
96,1,44.83,5,214.0
97,1,44.39,6,288.0
98,1,44.96,6,278.0
99,1,44.3,6,283.0
100,1,42.13,4,180.0
101,1,49.09,5,221.0
102,1,53.06,7,349.0
103,1,39.63,3,122.0
104,1,48.01,6,280.0
105,1,39.36,3,172.0
106,1,46.98,5,232.0
107,1,49.81,5,224.0
108,1,55.01,5,227.0
109,1,54.3,7,339.0
110,1,55.13,6,346.0
111,1,56.75,9,453.0
112,1,58.82,6,282.0
113,1,62.59,7,343.0
114,1,59.06,9,458.0
115,2,71.06,9,491.0
116,1,56.24,4,246.0
117,2,74.54,14,741.0
118,2,78.32,11,565.0
119,1,65.55,9,457.0
120,1,59.41,12,609.0
121,2,83.16,8,393.0
122,2,71.65,8,396.0
123,2,74.66,10,545.0
124,2,69.67,7,347.0
125,2,78.97,12,656.0
126,1,65.81,9,458.0
127,2,95.51,15,801.0
128,2,91.57,14,715.0
129,2,96.96,11,578.0
130,2,75.73,11,588.0
131,2,86.89,9,482.0
132,2,99.52,13,685.0
133,2,84.26,10,544.0
134,2,86.98,6,360.0
135,2,109.9,17,932.0
136,2,98.2,13,690.0
137,2,120.63,17,921.0
138,2,104.05,25,1322.0
139,2,116.51,14,765.0
140,2,123.4,11,559.0
141,2,103.47,15,766.0
142,2,100.72,17,898.0
143,2,121.36,14,741.0
144,2,76.09,13,678.0
145,2,95.71,12,680.0
146,2,71.61,11,553.0
147,2,74.48,12,655.0
148,2,89.96,10,552.0
149,2,90.1,12,633.0
150,2,97.03,14,756.0
151,2,116.53,13,686.0
152,2,101.37,15,770.0
153,2,93.92,14,769.0
154,2,96.1,12,631.0
155,3,125.76,19,1076.0
156,2,118.08,18,957.0
157,2,102.97,11,591.0
158,2,87.13,9,477.0
159,2,109.52,21,1169.0
160,2,107.16,14,746.0
161,2,96.61,14,779.0
162,2,102.57,11,551.0
163,2,104.43,16,821.0
164,2,111.8,16,847.0
165,2,113.72,14,737.0
166,2,123.45,18,993.0
167,2,105.98,14,747.0
168,3,143.46,14,768.0
169,2,123.59,12,633.0
170,3,148.08,16,867.0
171,3,130.37,14,771.0
172,2,95.04,18,999.0
173,2,122.12,18,959.0
174,2,112.17,15,802.0
175,2,108.43,13,675.0
176,3,131.83,20,1090.0
177,3,159.15,18,959.0
178,2,112.8,18,973.0
179,2,116.64,17,911.0
180,2,110.08,14,699.0
181,2,112.85,15,804.0
182,3,122.27,18,971.0
183,3,131.21,12,629.0
184,3,144.99,16,847.0
185,3,169.05,22,1229.0
186,3,165.17,15,828.0
187,2,104.09,19,1012.0
188,3,136.66,17,918.0
