Generation,Score,Fitness,Best Score,Best Fitness
0,1,10.47,2,55.0
1,1,11.75,2,55.0
2,1,13.84,2,57.0
3,1,11.68,2,55.0
4,1,13.04,3,108.0
5,1,13.14,3,106.0
6,1,13.85,3,109.0
7,1,11.67,2,58.0
8,1,13.75,3,109.0
9,1,11.36,2,56.0
10,1,14.14,3,105.0
11,1,12.7,2,56.0
12,1,10.18,3,105.0
13,1,10.8,2,56.0
14,1,13.13,2,56.0
15,1,12.3,3,106.0
16,1,14.42,3,102.0
17,1,14.67,2,58.0
18,1,10.8,2,96.0
19,1,12.87,3,105.0
20,1,14.2,5,209.0
21,1,12.21,3,103.0
22,1,13.45,3,103.0
23,1,10.97,3,115.0
24,1,15.46,3,105.0
25,1,15.33,2,58.0
26,1,12.34,3,103.0
27,1,17.32,3,106.0
28,1,13.97,2,56.0
29,1,10.54,2,56.0
30,1,15.56,3,105.0
31,1,11.33,3,105.0
32,1,10.72,2,56.0
33,1,14.44,2,56.0
34,1,14.0,3,106.0
35,1,10.05,2,56.0
36,1,13.44,2,55.0
37,1,13.22,2,62.0
38,1,12.79,2,56.0
39,1,14.39,3,104.0
40,1,17.01,3,105.0
41,1,15.56,2,57.0
42,1,9.99,2,55.0
43,1,13.65,2,59.0
44,1,10.3,2,55.0
45,1,15.75,3,106.0
46,1,11.37,3,103.0
47,1,13.2,3,106.0
48,1,12.41,3,105.0
49,1,15.95,3,111.0
50,1,14.77,5,211.0
51,1,12.76,2,56.0
52,1,16.99,3,109.0
53,1,14.62,2,59.0
54,1,14.41,3,106.0
55,1,10.75,3,105.0
56,1,15.66,3,110.0
57,1,15.1,3,105.0
58,1,13.84,3,103.0
59,1,14.18,2,56.0
60,1,13.91,3,103.0
61,1,14.2,3,105.0
62,1,16.26,4,155.0
63,1,13.92,3,106.0
64,1,13.65,2,55.0
65,1,15.89,3,106.0
66,1,13.86,3,108.0
67,1,18.07,3,106.0
68,1,17.11,3,104.0
69,1,15.28,3,104.0
70,1,12.99,2,62.0
71,1,16.21,3,105.0
72,1,15.46,2,56.0
73,1,19.01,3,105.0
74,1,13.85,2,56.0
75,1,16.67,2,58.0
76,1,23.89,3,105.0
77,1,15.75,3,107.0
78,1,15.57,2,57.0
79,1,17.85,3,107.0
80,1,16.61,3,111.0
81,1,13.43,2,57.0
82,1,13.35,2,57.0
83,1,18.14,2,57.0
84,1,20.77,3,108.0
85,1,17.9,3,109.0
86,1,16.63,3,104.0
87,1,17.22,2,57.0
88,1,17.99,3,110.0
89,1,19.8,3,106.0
90,1,17.84,3,104.0
91,1,20.08,3,106.0
92,1,16.58,3,111.0
93,1,13.07,2,57.0
94,1,18.49,3,107.0
95,1,19.1,3,107.0
96,1,17.16,2,56.0
97,1,17.91,2,57.0
98,1,16.89,3,107.0
99,1,21.15,3,107.0
100,1,17.77,3,111.0
101,1,18.03,3,109.0
102,1,15.03,3,107.0
103,1,11.3,2,59.0
