Generation,Score,Fitness,Best Score,Best Fitness
0,1,5.01,2,53.0
1,1,9.28,3,103.0
2,1,6.17,2,56.0
3,1,9.72,2,56.0
4,1,9.02,2,56.0
5,1,8.94,2,56.0
6,1,15.16,3,109.0
7,1,15.15,2,55.0
8,1,14.33,2,56.0
9,1,10.61,2,57.0
10,1,16.11,3,104.0
11,1,11.85,2,56.0
12,1,11.85,2,58.0
13,1,13.11,2,55.0
14,1,11.94,2,56.0
15,1,12.58,2,57.0
16,1,13.88,3,109.0
17,1,13.51,3,107.0
18,1,13.94,2,59.0
19,1,9.4,2,55.0
20,1,13.36,3,106.0
21,1,14.7,3,109.0
22,1,16.83,3,105.0
23,1,17.84,3,105.0
24,1,16.36,4,158.0
25,1,22.85,4,155.0
26,1,16.77,3,105.0
27,1,19.36,3,106.0
28,1,19.74,3,109.0
29,1,22.94,3,109.0
30,1,20.67,3,108.0
31,1,23.64,3,109.0
32,1,21.98,3,110.0
33,1,29.31,3,109.0
34,1,25.18,3,109.0
35,1,26.16,3,109.0
36,1,28.34,4,158.0
37,1,27.36,3,110.0
38,1,27.53,4,158.0
39,1,25.6,3,111.0
40,1,24.73,3,112.0
41,1,30.17,3,108.0
42,1,31.8,3,109.0
43,1,29.9,4,159.0
44,1,30.96,4,159.0
45,1,28.34,3,110.0
46,1,26.47,3,107.0
47,1,25.27,4,161.0
48,1,26.43,4,156.0
49,1,27.31,4,160.0
50,1,28.66,4,160.0
51,1,28.98,3,110.0
52,1,32.26,3,110.0
53,1,33.09,6,266.0
54,1,29.0,4,161.0
55,1,32.23,4,160.0
56,1,27.59,3,112.0
57,1,32.14,4,156.0
58,1,31.04,4,157.0
59,1,28.2,3,111.0
60,1,26.4,3,110.0
61,1,33.49,3,111.0
62,1,26.69,3,111.0
63,1,35.89,4,157.0
64,1,24.62,3,106.0
65,1,30.84,4,161.0
66,1,31.35,3,111.0
67,1,37.54,4,164.0
68,1,35.2,3,115.0
69,1,29.59,3,110.0
70,1,32.17,3,113.0
71,1,30.16,3,109.0
72,1,34.57,4,163.0
73,1,27.83,4,157.0
74,1,29.57,3,121.0
75,1,32.6,4,159.0
76,1,31.44,4,155.0
77,1,33.56,6,261.0
78,1,31.68,4,160.0
79,1,28.39,3,110.0
80,1,33.99,4,159.0
81,1,34.45,4,158.0
82,1,31.26,3,112.0
83,1,31.95,4,159.0
84,1,34.38,4,160.0
85,1,37.34,5,211.0
86,1,27.78,3,111.0
87,1,40.18,4,159.0
88,1,37.6,5,210.0
89,1,30.02,4,159.0
90,1,40.72,4,159.0
91,1,33.02,5,211.0
92,1,30.01,3,114.0
93,1,29.45,5,209.0
94,1,33.71,4,162.0
95,1,31.67,4,160.0
96,1,31.49,4,158.0
97,1,27.01,4,159.0
98,1,28.17,3,110.0
99,1,28.49,3,116.0
100,1,35.35,3,112.0
101,1,33.89,4,157.0
102,1,31.11,4,162.0
103,1,34.96,4,159.0
104,1,43.16,4,164.0
105,1,29.1,3,108.0
106,1,35.76,3,111.0
107,1,36.29,5,208.0
108,1,39.66,4,161.0
109,1,30.05,5,209.0
110,1,33.24,4,162.0
111,1,33.6,4,156.0
112,1,31.8,4,161.0
113,1,30.9,4,167.0
114,1,32.02,3,110.0
115,1,39.33,5,209.0
116,1,37.07,4,164.0
117,1,31.48,4,167.0
118,1,36.09,6,261.0
119,1,29.03,4,164.0
120,1,28.39,3,108.0
121,1,29.68,4,161.0
122,1,34.8,4,160.0
123,1,33.32,3,109.0
124,1,32.23,3,110.0
125,1,37.18,4,165.0
126,1,37.76,4,158.0
127,1,32.36,4,160.0
128,1,36.39,5,211.0
129,1,30.86,3,110.0
130,1,32.96,4,161.0
131,1,27.05,3,116.0
132,1,34.12,4,159.0
133,1,40.12,6,260.0
134,1,32.54,4,158.0
135,1,34.67,5,210.0
136,1,33.69,4,161.0
137,1,32.72,4,160.0
138,1,33.91,4,157.0
139,1,32.61,5,209.0
140,1,32.58,5,208.0
141,1,36.74,4,162.0
142,1,38.64,5,212.0
143,1,29.71,3,116.0
144,1,40.26,4,156.0
145,1,33.21,4,161.0
146,1,37.3,4,162.0
147,1,35.71,5,212.0
148,1,35.37,5,212.0
149,1,32.26,4,161.0
150,1,30.53,3,108.0
151,1,34.24,4,163.0
152,1,33.18,3,111.0
153,1,33.77,4,160.0
154,1,36.07,4,166.0
155,1,31.62,4,156.0
156,1,31.94,5,210.0
157,1,30.88,4,159.0
158,1,27.52,4,158.0
159,1,28.18,4,158.0
160,1,35.92,4,161.0
161,1,28.71,4,159.0
162,1,31.47,3,111.0
163,1,29.48,3,110.0
164,1,27.76,4,159.0
165,1,28.04,4,156.0
166,1,41.08,3,112.0
167,1,35.93,4,164.0
168,1,37.59,4,161.0
169,1,32.9,3,108.0
170,1,30.71,3,116.0
171,1,36.37,4,160.0
172,1,34.88,4,156.0
173,1,39.5,4,165.0
174,1,35.21,5,209.0
175,1,31.77,3,109.0
176,1,40.34,4,158.0
177,1,38.34,4,161.0
178,1,31.04,4,161.0
179,1,38.02,4,161.0
180,1,34.96,4,164.0
181,1,35.53,4,157.0
182,1,36.97,4,163.0
183,1,39.44,4,158.0
184,1,40.78,4,164.0
185,1,35.62,4,161.0
186,1,39.25,4,160.0
187,1,32.45,3,111.0
188,1,35.45,4,162.0
189,1,30.96,4,159.0
