Generation,Score,Fitness,Best Score,Best Fitness
0,1,12.08,3,106.0
1,1,11.77,2,56.0
2,1,12.78,2,58.0
3,1,13.31,3,106.0
4,1,12.81,2,54.0
5,1,14.91,3,103.0
6,1,12.85,2,56.0
7,1,11.93,2,57.0
8,1,13.09,2,56.0
9,1,14.32,3,105.0
10,1,12.07,2,58.0
11,1,13.72,3,103.0
12,1,15.98,2,96.0
13,1,12.1,2,58.0
14,1,12.99,3,103.0
15,1,14.18,2,57.0
16,1,10.85,3,103.0
17,1,12.52,2,60.0
18,1,14.27,3,105.0
19,1,12.55,2,96.0
20,1,15.83,2,64.0
21,1,13.64,2,58.0
22,1,12.56,2,59.0
23,1,12.69,2,57.0
24,1,13.89,2,59.0
25,1,11.68,2,55.0
26,1,15.0,3,109.0
27,1,16.53,2,58.0
28,1,13.04,3,114.0
29,1,13.99,3,103.0
30,1,15.08,2,58.0
31,1,15.45,3,105.0
32,1,15.6,3,105.0
33,1,15.84,2,56.0
34,1,14.15,3,107.0
35,1,15.84,2,57.0
36,1,15.79,3,113.0
37,1,15.22,3,103.0
38,1,13.71,2,57.0
39,1,16.2,3,105.0
40,1,15.9,3,109.0
41,1,12.64,2,56.0
42,1,18.62,3,105.0
43,1,14.45,2,56.0
44,1,19.11,2,60.0
45,1,18.0,3,106.0
46,1,15.85,3,104.0
47,1,16.48,3,105.0
48,1,15.84,2,57.0
49,1,17.75,3,105.0
50,1,17.54,2,59.0
51,1,23.01,3,109.0
52,1,18.52,2,57.0
53,1,20.56,3,107.0
54,1,18.04,3,106.0
55,1,20.85,3,104.0
56,1,17.12,3,105.0
57,1,17.35,2,60.0
58,1,20.18,3,107.0
59,1,24.52,4,155.0
60,1,20.95,3,115.0
61,1,21.44,3,113.0
62,1,16.92,3,104.0
63,1,18.36,3,103.0
64,1,22.93,3,111.0
65,1,22.84,2,96.0
66,1,24.28,4,156.0
67,1,16.38,3,103.0
68,1,23.08,4,155.0
69,1,27.28,3,111.0
70,1,23.1,4,155.0
71,1,20.38,3,109.0
72,1,21.13,3,103.0
73,1,19.57,2,58.0
74,1,22.87,3,105.0
75,1,25.85,3,107.0
76,1,21.22,3,106.0
77,1,21.35,3,104.0
78,1,24.02,3,109.0
79,1,20.16,3,117.0
80,1,20.98,2,61.0
81,1,23.17,3,109.0
82,1,21.94,2,60.0
83,1,21.89,3,106.0
84,1,21.89,3,109.0
85,1,22.13,3,103.0
86,1,27.13,4,157.0
87,1,24.4,3,110.0
88,1,23.56,3,172.0
89,1,20.94,3,108.0
90,1,22.96,3,106.0
91,1,19.29,2,96.0
92,1,29.73,4,159.0
93,1,23.63,4,166.0
94,1,23.22,2,96.0
95,1,22.61,3,108.0
96,1,25.82,3,110.0
97,1,25.01,3,111.0
98,1,23.78,3,119.0
99,1,27.34,3,110.0
100,1,25.91,3,110.0
101,1,25.8,3,111.0
102,1,26.98,3,107.0
103,1,23.03,3,111.0
104,1,25.88,3,106.0
105,1,24.13,4,164.0
106,1,22.56,3,122.0
107,1,28.93,4,156.0
108,1,26.49,3,110.0
109,1,29.06,3,120.0
110,1,30.55,3,172.0
111,1,29.05,3,107.0
112,1,25.97,4,157.0
113,1,33.61,4,163.0
114,1,26.82,3,107.0
115,1,29.53,3,111.0
116,1,26.67,2,96.0
117,1,28.5,3,172.0
118,1,32.67,4,154.0
119,1,33.29,5,219.0
120,1,30.15,4,163.0
121,1,28.35,4,160.0
122,1,35.2,5,219.0
123,1,31.36,4,162.0
124,1,31.67,3,109.0
125,1,30.18,3,109.0
126,1,33.18,4,163.0
127,1,27.96,3,112.0
128,1,28.27,3,110.0
129,1,31.14,3,112.0
130,1,28.76,3,172.0
131,1,30.93,3,122.0
132,1,26.9,3,110.0
133,1,30.15,3,112.0
