Generation,Score,Fitness,Best Score,Best Fitness
0,1,11.894,3,105.0
1,1,11.316,3,104.0
2,1,14.352,6,259.0
3,1,12.53,3,111.0
4,1,13.416,3,110.0
5,1,12.792,5,213.0
6,1,13.594,3,105.0
7,1,12.326,3,110.0
8,1,14.262,4,154.0
9,1,13.176,3,106.0
10,1,14.104,3,105.0
11,1,14.232,2,60.0
12,1,11.894,3,104.0
13,1,12.02,3,106.0
14,1,13.748,2,59.0
15,1,14.13,3,106.0
16,1,13.136,3,107.0
17,1,13.752,3,105.0
18,1,12.62,3,103.0
19,1,12.698,3,106.0
20,1,13.992,3,105.0
21,1,14.846,3,110.0
22,1,15.168,3,105.0
23,1,12.436,3,107.0
24,1,14.302,3,106.0
25,1,12.944,3,105.0
26,1,13.814,3,109.0
27,1,12.98,3,106.0
28,1,13.368,3,102.0
29,1,14.2,3,106.0
30,1,13.052,3,111.0
31,1,14.892,3,107.0
32,1,14.014,3,109.0
33,1,13.528,4,155.0
34,1,14.912,3,104.0
35,1,14.386,3,113.0
36,1,13.796,3,106.0
37,1,14.732,3,108.0
38,1,12.826,3,105.0
39,1,13.296,3,110.0
40,1,13.422,3,102.0
41,1,14.616,3,106.0
42,1,14.22,3,105.0
43,1,14.258,3,108.0
44,1,13.944,3,104.0
45,1,13.328,3,104.0
46,1,14.104,3,110.0
47,1,12.494,2,58.0
48,1,12.45,3,109.0
49,1,14.446,3,104.0
50,1,13.766,4,159.0
51,1,13.26,3,106.0
52,1,12.804,3,104.0
53,1,14.612,3,108.0
54,1,13.664,3,105.0
55,1,14.26,3,103.0
56,1,14.876,4,157.0
57,1,13.792,3,106.0
58,1,14.144,4,159.0
59,1,13.796,2,60.0
60,1,14.18,3,126.0
61,1,14.698,3,108.0
62,1,13.644,3,105.0
63,1,13.544,3,105.0
64,1,13.288,3,105.0
65,1,12.514,3,107.0
66,1,14.764,3,108.0
67,1,14.896,4,158.0
68,1,13.756,4,168.0
69,1,13.972,3,105.0
70,1,15.3,3,105.0
71,1,13.714,3,111.0
72,1,13.396,3,103.0
73,1,13.592,4,161.0
74,1,14.194,3,113.0
75,1,14.846,4,155.0
76,1,16.13,4,168.0
77,1,13.308,3,110.0
78,1,14.56,3,106.0
79,1,14.16,3,106.0
80,1,15.36,3,106.0
81,1,14.0,3,105.0
82,1,14.704,3,110.0
83,1,14.374,3,106.0
84,1,14.942,3,104.0
85,1,14.854,3,106.0
86,1,13.54,3,105.0
87,1,14.348,3,106.0
88,1,15.49,3,110.0
89,1,14.134,3,106.0
90,1,14.21,3,106.0
91,1,15.228,3,106.0
92,1,15.008,3,107.0
93,1,15.216,3,108.0
94,1,15.604,3,110.0
95,1,14.848,3,104.0
96,1,14.658,4,155.0
97,1,14.284,3,106.0
98,1,15.18,3,107.0
99,1,14.596,3,106.0
100,1,15.928,3,106.0
101,1,15.758,4,156.0
102,1,17.14,3,105.0
103,1,15.924,4,154.0
104,1,16.216,4,154.0
105,1,17.782,3,105.0
106,1,17.74,3,105.0
107,1,16.302,3,106.0
108,1,16.804,3,106.0
109,1,15.27,4,158.0
110,1,15.736,3,106.0
111,1,16.846,3,107.0
112,1,16.262,3,108.0
113,1,16.572,3,103.0
114,1,16.274,3,112.0
115,1,17.578,3,107.0
116,1,16.098,3,104.0
