Generation,Score,Fitness,Best Score,Best Fitness
0,1,7.57,2,53.0
1,1,7.36,2,54.0
2,1,7.66,2,54.0
3,1,12.74,3,103.0
4,1,9.62,2,55.0
5,1,11.39,2,58.0
6,1,13.0,3,105.0
7,1,15.05,2,60.0
8,1,9.1,3,105.0
9,1,13.87,2,57.0
10,1,14.38,2,60.0
11,1,11.32,2,60.0
12,1,13.88,2,55.0
13,1,15.77,2,57.0
14,1,14.31,2,60.0
15,1,16.03,3,104.0
16,1,15.04,2,60.0
17,1,13.57,2,60.0
18,1,14.23,2,59.0
19,1,15.61,2,56.0
20,1,13.41,2,56.0
21,1,16.21,2,56.0
22,1,10.6,2,53.0
23,1,12.41,2,53.0
24,1,14.42,2,53.0
25,1,16.79,3,172.0
26,1,17.71,3,109.0
27,1,15.07,3,123.0
28,1,15.8,2,54.0
29,1,18.0,2,57.0
30,1,18.45,3,110.0
31,1,18.81,3,110.0
32,1,17.07,2,54.0
33,1,15.52,2,54.0
34,1,17.97,2,60.0
35,1,16.93,2,53.0
36,1,18.45,2,70.0
37,1,18.83,2,59.0
38,1,22.58,3,110.0
39,1,18.68,3,111.0
40,1,21.23,2,56.0
41,1,21.52,3,105.0
42,1,20.95,2,64.0
43,1,19.53,2,60.0
44,1,17.49,2,52.0
45,1,21.15,2,61.0
46,1,20.29,3,105.0
47,1,19.01,2,62.0
48,1,23.42,3,104.0
49,1,18.98,2,58.0
50,1,22.45,3,105.0
51,1,25.79,3,104.0
52,1,21.12,3,106.0
53,1,19.95,3,106.0
54,1,23.12,3,114.0
55,1,19.93,2,60.0
56,1,20.66,3,104.0
57,1,24.52,4,176.0
58,1,22.92,2,56.0
59,1,22.8,3,102.0
60,1,23.19,2,62.0
61,1,24.85,3,111.0
62,1,27.58,3,107.0
63,1,23.5,3,103.0
64,1,27.8,3,111.0
65,1,25.95,3,110.0
66,1,27.11,3,111.0
67,1,26.91,3,116.0
68,1,24.54,3,105.0
69,1,25.04,3,112.0
70,1,26.7,5,205.0
71,1,27.49,3,111.0
72,1,23.96,3,109.0
73,1,26.08,3,109.0
74,1,27.23,4,161.0
75,1,28.09,4,160.0
76,1,29.97,5,226.0
77,1,29.24,3,119.0
78,1,31.2,4,167.0
79,1,30.28,3,111.0
80,1,33.8,3,111.0
81,1,32.1,3,111.0
82,1,31.7,3,110.0
83,1,28.53,3,107.0
84,1,31.49,4,159.0
85,1,26.86,3,116.0
86,1,34.96,4,171.0
87,1,30.32,4,165.0
88,1,33.27,3,111.0
89,1,34.0,3,116.0
90,1,37.58,3,113.0
91,1,33.76,4,166.0
92,1,35.95,4,157.0
93,1,35.9,5,218.0
94,1,33.49,3,119.0
95,1,35.14,3,116.0
96,1,33.8,3,114.0
97,1,31.04,4,157.0
98,1,36.27,3,112.0
99,1,32.2,3,114.0
100,1,36.79,4,162.0
101,1,35.39,3,115.0
102,1,38.01,4,164.0
103,1,38.27,4,168.0
104,1,37.5,7,336.0
105,1,38.37,3,111.0
106,1,35.93,4,161.0
107,1,32.52,4,172.0
108,1,33.29,3,120.0
109,1,38.24,5,233.0
110,1,33.05,3,116.0
111,1,33.67,4,160.0
112,1,36.14,3,116.0
113,1,32.87,3,115.0
114,1,31.47,3,111.0
115,1,37.14,3,111.0
116,1,31.04,3,116.0
117,1,34.28,3,123.0
118,1,36.47,5,220.0
119,1,34.06,3,111.0
120,1,33.82,3,122.0
121,1,37.18,3,114.0
122,1,28.87,3,109.0
123,1,32.97,4,167.0
124,1,31.76,3,111.0
125,1,37.4,4,168.0
126,1,38.32,4,173.0
127,1,38.16,3,116.0
128,1,37.19,4,171.0
