Generation,Score,Fitness,Best Score,Best Fitness
0,1,12.415,3,104.0
1,1,10.81,2,56.0
2,1,15.15,3,106.0
3,1,11.735,2,56.0
4,1,14.83,3,104.0
5,1,11.27,3,106.0
6,1,11.27,2,56.0
7,1,11.515,2,56.0
8,1,13.055,3,106.0
9,1,11.585,2,56.0
10,1,11.065,2,56.0
11,1,13.555,3,105.0
12,1,11.17,3,106.0
13,1,14.37,3,107.0
14,1,14.165,3,105.0
15,1,15.24,3,107.0
16,1,12.99,3,105.0
17,1,13.24,4,156.0
18,1,11.615,3,102.0
19,1,13.14,3,106.0
20,1,15.025,3,107.0
21,1,13.945,3,103.0
22,1,13.33,3,105.0
23,1,16.05,2,61.0
24,1,14.415,3,106.0
25,1,15.8,3,112.0
26,1,14.645,3,106.0
27,1,14.225,3,106.0
28,1,14.91,3,106.0
29,1,14.79,3,110.0
30,1,13.945,3,105.0
31,1,15.29,3,106.0
32,1,15.255,3,106.0
33,1,13.585,2,61.0
34,1,14.755,3,105.0
35,1,14.7,3,104.0
36,1,15.88,4,156.0
37,1,14.59,4,157.0
38,1,14.675,3,106.0
39,1,13.645,3,106.0
40,1,14.64,3,107.0
41,1,13.555,2,59.0
42,1,13.515,3,106.0
43,1,12.625,3,108.0
44,1,14.45,3,108.0
45,1,13.37,3,106.0
46,1,13.54,4,156.0
47,1,10.96,2,56.0
48,1,13.795,2,57.0
49,1,10.945,3,106.0
50,1,14.385,3,106.0
51,1,12.38,3,105.0
52,1,14.6,3,107.0
53,1,12.885,2,56.0
54,1,16.19,3,111.0
55,1,15.215,3,106.0
56,1,16.685,3,107.0
57,1,16.6,4,155.0
58,1,15.865,3,106.0
59,1,14.01,3,107.0
60,1,15.995,3,107.0
61,1,16.83,3,111.0
62,1,17.695,3,106.0
63,1,14.4,3,105.0
64,1,17.895,3,107.0
65,1,17.23,3,106.0
66,1,17.14,4,155.0
67,1,14.475,3,105.0
68,1,17.88,3,107.0
69,1,14.875,3,106.0
70,1,14.995,2,64.0
71,1,19.015,3,110.0
72,1,16.425,3,106.0
73,1,17.93,4,155.0
74,1,18.635,4,156.0
75,1,21.79,4,156.0
76,1,21.285,3,109.0
77,1,18.945,3,110.0
78,1,18.97,3,109.0
79,1,19.535,3,107.0
80,1,22.115,3,109.0
81,1,18.33,3,106.0
82,1,20.3,5,207.0
83,1,19.76,3,111.0
84,1,23.505,5,206.0
85,1,20.645,3,115.0
86,1,23.005,3,115.0
87,1,21.89,3,111.0
88,1,23.82,4,159.0
89,1,20.025,3,106.0
90,1,26.22,4,167.0
91,1,21.425,3,110.0
92,1,24.47,3,112.0
93,1,27.455,4,161.0
94,1,25.58,3,110.0
95,1,24.22,3,108.0
96,1,26.345,3,114.0
97,1,26.82,4,158.0
98,1,28.27,3,110.0
99,1,26.06,4,162.0
100,1,26.19,3,112.0
101,1,26.42,4,161.0
102,1,32.02,5,212.0
103,1,25.765,4,161.0
104,1,27.135,4,155.0
105,1,30.545,4,156.0
106,1,32.145,6,260.0
107,1,30.785,3,112.0
108,1,25.745,4,157.0
109,1,31.34,4,162.0
110,1,32.055,4,159.0
111,1,29.885,4,155.0
112,1,28.515,3,111.0
113,1,34.85,4,163.0
114,1,31.16,4,162.0
115,1,31.77,4,162.0
116,1,32.42,4,160.0
117,1,34.02,5,215.0
118,1,31.825,4,165.0
119,1,33.855,5,209.0
120,1,32.86,4,158.0
121,1,37.405,4,156.0
122,1,32.6,3,111.0
123,1,28.25,4,158.0
124,1,29.345,3,113.0
125,1,33.42,5,212.0
126,1,35.975,4,173.0
127,1,34.075,3,109.0
128,1,33.5,4,163.0
129,1,34.185,5,214.0
130,1,34.05,4,161.0
131,1,39.95,4,163.0
132,1,33.205,4,161.0
133,1,37.845,5,213.0
134,1,37.26,4,162.0
135,1,41.565,4,163.0
136,1,36.545,4,173.0
137,1,33.2,4,163.0
138,1,37.335,5,210.0
139,1,37.42,5,210.0
140,1,36.205,4,165.0
141,1,39.225,5,228.0
142,1,43.6,4,163.0
143,1,38.72,4,163.0
144,1,42.915,5,215.0
145,1,38.305,3,172.0
146,1,39.47,3,114.0
147,1,35.595,4,163.0
148,1,34.97,4,173.0
149,1,39.395,4,170.0
150,1,38.79,5,211.0
151,1,41.065,4,164.0
152,1,34.33,4,168.0
153,1,38.185,4,159.0
154,1,41.055,4,163.0
155,1,36.21,4,163.0
156,1,37.87,3,172.0
157,1,37.985,4,157.0
158,1,32.73,4,154.0
159,1,39.905,4,162.0
160,1,39.295,4,159.0
161,1,39.085,4,161.0
162,1,39.19,4,160.0
163,1,39.875,4,165.0
164,1,44.2,5,209.0
165,1,40.725,4,163.0
166,1,44.4,4,159.0
167,1,43.19,4,162.0
168,1,41.88,5,213.0
169,1,42.75,4,160.0
170,1,42.89,4,163.0
171,1,40.895,4,166.0
172,1,44.765,4,159.0
173,1,47.8,6,262.0
174,1,46.135,5,216.0
175,1,42.92,4,172.0
176,1,40.135,4,163.0
177,1,42.27,4,161.0
178,1,39.815,5,209.0
179,1,43.53,4,160.0
180,1,43.635,5,216.0
181,1,40.825,4,158.0
182,1,45.78,4,164.0
183,1,42.345,5,222.0
184,1,42.02,5,211.0
185,1,41.775,5,211.0
186,1,41.11,4,163.0
187,1,44.03,5,213.0
188,1,40.2,3,172.0
189,1,44.945,5,221.0
190,1,43.695,6,261.0
191,1,43.65,5,208.0
192,1,39.575,4,163.0
193,1,46.815,4,162.0
194,1,43.845,4,167.0
195,1,42.89,4,169.0
196,1,43.475,4,166.0
197,1,47.91,5,225.0
198,1,45.67,5,213.0
199,1,43.305,5,210.0
200,1,45.985,4,162.0
201,1,49.04,5,205.0
202,1,45.05,4,167.0
203,1,47.315,5,223.0
204,1,43.755,4,157.0
205,1,47.175,5,211.0
206,1,42.795,4,162.0
207,1,46.7,4,161.0
208,1,43.635,4,158.0
209,1,47.225,3,172.0
210,1,43.315,5,213.0
211,1,41.33,3,172.0
212,1,44.775,5,215.0
213,1,43.195,4,161.0
214,1,47.34,4,162.0
215,1,44.67,4,159.0
216,1,47.62,5,213.0
217,1,42.195,4,172.0
218,1,46.995,3,172.0
219,1,46.56,5,231.0
220,1,48.3,5,215.0
221,1,49.02,4,236.0
222,1,45.49,3,172.0
223,1,43.425,5,218.0
224,1,44.945,5,217.0
225,1,46.75,4,161.0
226,1,47.57,5,215.0
227,1,47.24,5,213.0
228,1,45.695,4,174.0
229,1,54.315,5,221.0
230,1,47.45,5,233.0
231,1,48.86,5,221.0
232,1,49.38,9,423.0
233,1,49.51,3,172.0
234,1,55.185,4,177.0
235,1,46.075,5,223.0
236,1,48.075,5,213.0
237,1,50.91,7,330.0
238,1,57.605,6,261.0
239,1,56.475,5,296.0
240,1,53.52,5,292.0
241,1,52.745,5,224.0
242,1,49.66,7,334.0
243,1,53.72,6,266.0
244,1,52.765,5,224.0
245,1,58.155,7,322.0
246,1,57.33,6,282.0
247,1,56.25,7,335.0
248,1,54.455,7,344.0
249,1,56.88,5,231.0
250,1,55.97,6,285.0
251,1,61.81,6,285.0
252,1,53.375,6,266.0
253,1,62.455,7,344.0
254,1,60.9,5,229.0
255,2,64.955,6,278.0
256,1,61.185,7,338.0
257,1,59.46,4,239.0
258,1,60.035,8,391.0
259,1,56.395,4,237.0
260,1,60.19,6,280.0
261,2,64.02,5,288.0
262,2,65.0,7,318.0
263,2,64.56,6,271.0
264,1,60.635,9,439.0
265,2,68.06,7,334.0
266,1,61.95,6,291.0
267,2,72.07,10,534.0
268,2,66.25,7,332.0
269,2,71.93,8,385.0
270,2,65.51,8,392.0
271,2,69.42,6,283.0
272,2,75.62,7,335.0
273,2,72.035,10,492.0
274,1,64.8,8,378.0
275,2,65.205,9,458.0
276,2,72.7,6,297.0
277,2,71.63,8,388.0
278,2,69.505,7,334.0
279,2,69.725,8,408.0
280,2,85.11,9,451.0
281,2,70.015,8,374.0
282,2,71.615,8,391.0
283,2,75.725,7,326.0
284,2,77.735,7,334.0
285,2,69.49,8,370.0
