Generation,Score,Fitness,Best Score,Best Fitness
0,1,12.97,3,104.0
1,1,12.19,2,54.0
2,1,13.53,2,59.0
3,1,14.12,2,66.0
4,1,14.38,2,62.0
5,1,12.08,2,55.0
6,1,12.8,2,60.0
7,1,11.16,2,55.0
8,1,13.6,2,56.0
9,1,13.11,2,58.0
10,1,15.39,2,58.0
11,1,14.91,2,58.0
12,1,12.89,2,55.0
13,1,14.42,2,56.0
14,1,16.95,2,56.0
15,1,17.44,3,106.0
16,1,14.45,4,156.0
17,1,13.97,2,96.0
18,1,15.81,3,106.0
19,1,13.88,2,59.0
20,1,11.47,2,58.0
21,1,16.2,3,172.0
22,1,11.83,2,55.0
23,1,16.33,3,107.0
24,1,12.83,2,56.0
25,1,12.17,3,106.0
26,1,14.6,2,56.0
27,1,13.06,2,57.0
28,1,13.22,2,57.0
29,1,13.7,2,59.0
30,1,16.76,2,58.0
31,1,14.63,2,55.0
32,1,14.72,4,156.0
33,1,13.31,3,102.0
34,1,17.55,4,155.0
35,1,16.5,3,108.0
36,1,12.45,2,55.0
37,1,14.39,2,62.0
38,1,10.62,2,56.0
39,1,12.63,2,55.0
40,1,11.88,2,56.0
41,1,17.31,3,105.0
42,1,15.7,3,109.0
43,1,17.3,3,105.0
44,1,14.28,3,105.0
45,1,14.69,3,105.0
46,1,13.79,3,106.0
47,1,12.37,2,56.0
48,1,15.16,3,105.0
49,1,12.94,3,106.0
50,1,14.07,2,60.0
51,1,16.82,2,60.0
52,1,13.89,2,57.0
53,1,12.54,2,55.0
54,1,12.2,2,56.0
55,1,13.65,2,57.0
56,1,13.42,2,55.0
57,1,13.88,2,58.0
58,1,15.25,3,108.0
59,1,16.76,3,108.0
60,1,12.41,2,56.0
61,1,14.77,2,56.0
62,1,16.81,3,108.0
63,1,16.85,3,108.0
64,1,18.44,3,107.0
65,1,13.38,2,57.0
66,1,13.7,2,55.0
67,1,16.04,3,104.0
68,1,18.15,3,108.0
69,1,12.69,3,105.0
70,1,13.33,2,56.0
71,1,13.38,3,105.0
72,1,18.08,3,105.0
73,1,15.75,3,104.0
74,1,17.15,3,103.0
75,1,16.09,2,59.0
76,1,15.11,3,104.0
77,1,17.58,3,108.0
78,1,17.59,2,96.0
79,1,16.4,3,105.0
80,1,18.08,3,106.0
81,1,15.63,2,61.0
82,1,20.25,3,108.0
83,1,16.37,3,105.0
84,1,21.02,3,105.0
85,1,16.99,3,104.0
86,1,23.67,4,155.0
